ID-050509B	831	381	0.07	0.02
ID-050509B	6.20E+03	2.00E+03	2.00E-02	0.00E+00
ID-050509B	2.10E+05	5.00E+04	8.00E-03	0.00E+00
ID-050709	1.40E+05	1.50E+04	1.90E-03	1.40E-04
ID-050709	2.10E+05	5.00E+03	1.50E-03	0.00E+00
ID-050709	2.20E+05	3.80E+04	1.10E-03	2.00E-05
ID-050709	2.80E+05	6.40E+03	7.30E-04	0.00E+00
ID-050709	3.70E+05	2.10E+03	5.90E-03	0.00E+00
ID-050709	1.40E+06	6.10E+03	1.30E-03	6.00E-05
ID-050709	1.40E+06	1.20E+04	1.10E-04	2.00E-05
ID-050724A	1.00E+03	5.10E+02	4.30E-01	8.60E-02
ID-050724A	1.40E+03	3.20E+02	6.80E-01	1.40E-01
ID-050724A	1.90E+03	4.90E+02	4.40E-01	9.00E-02
ID-050724A	6.60E+03	2.00E+03	9.10E-02	2.20E-02
ID-050724A	1.30E+04	3.40E+03	5.00E-02	1.30E-02
ID-050724A	2.50E+04	1.90E+03	1.00E-01	2.30E-02
ID-050724A	3.50E+04	8.10E+02	2.70E-01	5.60E-02
ID-050724A	3.70E+04	1.20E+03	1.90E-01	3.90E-02
ID-050724A	4.10E+04	8.30E+02	2.60E-01	5.30E-02
ID-050724A	4.20E+04	6.50E+02	3.20E-01	6.80E-02
ID-050724A	4.20E+04	7.70E+02	2.70E-01	5.70E-02
ID-050724A	4.70E+04	1.20E+03	1.80E-01	3.80E-02
ID-050724A	4.80E+04	8.80E+02	2.40E-01	5.00E-02
ID-050724A	4.80E+04	7.90E+02	2.70E-01	5.60E-02
ID-050724A	5.20E+04	5.90E+02	3.70E-01	7.50E-02
ID-050724A	5.30E+04	8.00E+02	2.70E-02	5.50E-02
ID-050724A	5.80E+04	7.60E+02	2.90E-01	5.80E-02
ID-050724A	5.90E+04	5.50E+02	3.90E-01	8.00E-02
ID-050724A	6.30E+04	9.70E+02	2.20E-01	4.60E-02
ID-050724A	6.60E+04	1.00E+03	2.00E-01	4.40E-02
ID-050724A	7.70E+04	1.60E+03	1.10E-01	2.70E-02
ID-050724A	8.80E+04	2.00E+03	1.00E-01	2.30E-02
ID-050724A	9.90E+04	1.20E+03	9.00E-02	2.80E-02
ID-050724A	1.40E+05	4.40E+03	2.50E-02	8.40E-03
ID-050724A	1.50E+05	4.00E+03	2.70E-02	9.50E-03
ID-050724A	1.80E+05	7.00E+03	1.20E-02	5.50E-03
ID-050724A	2.20E+05	2.10E+03	1.40E-02	8.40E-03
ID-050724A	5.60E+06	4.70E+03	1.40E-03	7.80E-04
ID-050724A	2.10E+05	8.30E+03	6.00E-03	1.10E-03
ID-050724A	2.10E+05	9.60E+03	5.10E-03	9.70E-04
ID-050724A	2.30E+05	1.20E+04	3.90E-03	7.50E-04
ID-050724A	2.40E+05	1.30E+04	3.80E-03	7.20E-04
ID-050724A	2.50E+05	6.50E+03	5.40E-03	1.20E-03
ID-050724A	1.90E+06	4.30E+04	3.30E-04	1.20E-04
ID-050813	4.70E+03	2.70E+05	3.40E-03	1.00E-03
ID-050813	6.50E+05	3.40E+05	2.70E-03	0.00E+00
ID-050906	3.00E+03	5.20E+03	1.80E-02	0.00E+00
ID-050925	1.40E+03	1.40E+03	6.60E-03	0.00E+00
ID-051210	8.94E+02	8.40E+02	4.00E-01	1.50E-01
ID-051221A	1.40E+03	5.10E+02	8.60E-01	1.00E-01
ID-051221A	1.90E+03	5.10E+02	5.90E-01	8.50E-02
ID-051221A	2.40E+03	5.10E+02	4.30E-01	8.20E-02
ID-051221A	5.30E+03	3.50E+03	2.30E-01	3.30E-02
ID-051221A	8.80E+03	3.50E+03	2.40E-01	3.50E-02
ID-051221A	1.20E+04	3.50E+03	2.50E-01	2.60E-02
ID-051221A	1.60E+04	3.50E+03	2.00E-01	7.60E-02
ID-051221A	1.90E+04	3.50E+03	1.60E-01	2.10E-02
ID-051221A	2.30E+04	3.50E+03	1.10E-01	2.30E-02
ID-051221A	2.60E+04	3.50E+03	1.10E-01	2.60E-02
ID-051221A	3.00E+04	3.50E+03	8.80E-02	1.50E-02
ID-051221A	3.70E+04	3.50E+03	1.30E-01	2.00E-02
ID-051221A	4.50E+04	1.00E+04	7.90E-02	1.10E-02
ID-051221A	5.50E+04	1.00E+04	6.60E-02	1.00E-02
ID-051221A	1.00E+05	4.10E+04	1.70E-02	2.70E-03
ID-051221A	1.40E+05	4.10E+04	1.80E-02	2.90E-03
ID-051221A	2.00E+05	5.70E+04	1.30E-02	1.90E-03
ID-051221A	2.50E+05	5.70E+04	1.40E-02	2.00E-03
ID-051221A	3.10E+05	5.70E+04	9.00E-03	1.70E-03
ID-051221A	3.80E+05	8.60E+04	5.20E-03	1.00E-03
ID-051221A	4.70E+05	8.60E+04	5.80E-03	1.10E-03
ID-051221A	5.50E+05	8.60E+04	4.40E-03	9.40E-04
ID-051221A	6.40E+05	8.30E+04	3.60E-03	9.40E-04
ID-051221A	7.30E+05	8.20E+04	5.40E-03	1.00E-03
ID-051221A	9.80E+05	4.10E+05	2.30E-03	4.10E-04
ID-051221A	1.30E+05	5.40E+03	2.20E-02	2.20E-03
ID-051221A	1.40E+05	5.50E+03	2.10E-02	2.10E-03
ID-051221A	1.40E+05	6.40E+03	1.80E-02	1.90E-03
ID-051221A	1.50E+05	6.60E+03	1.80E-02	1.80E-03
ID-051221A	1.60E+05	6.30E+03	1.70E-02	1.80E-03
ID-051221A	3.90E+05	9.50E+03	6.10E-03	8.80E-04
ID-051221A	4.00E+05	1.00E+04	5.50E-03	8.00E-04
ID-051221A	4.10E+05	1.00E+04	5.30E-03	7.90E-04
ID-051221A	1.30E+06	1.80E+04	5.50E-04	1.90E-04
ID-051221A	1.70E+06	2.50E+04	3.80E-04	1.40E-04
ID-051221A	2.30E+06	4.80E+04	1.90E-04	7.20E-05
ID-060121	1.10E+04	1.50E+02	6.10E-01	1.40E-01
ID-060121	1.10E+04	2.20E+02	4.20E-01	9.50E-02
ID-060121	1.10E+04	2.10E+02	4.50E-01	1.00E-01
ID-060121	1.10E+04	2.00E+02	4.70E-01	1.10E-01
ID-060121	1.10E+04	2.10E+02	3.40E-01	8.70E-01
ID-060121	1.20E+04	1.80E+02	5.20E-01	1.20E-01
ID-060121	1.20E+04	1.80E+02	5.10E-01	1.20E-01
ID-060121	1.20E+04	1.60E+02	6.00E-01	1.40E-01
