GRB,Time,Tpos,Tneg,Flux,Fluxpos,Fluxneg
211227A,63.7306275199495,0.266892466782963,-0.249033570257737,5.44693439222241e-09,8.11984877904774e-10,-8.11984519784139e-10
211227A,64.3187724195035,0.280082496695186,-0.321252432771018,7.96326320051083e-09,9.83026486280392e-10,-9.96759372629704e-10
211227A,64.9650908825346,0.329404120791764,-0.366235966335935,7.79897485120644e-09,9.4994385158927e-10,-9.51597602671378e-10
211227A,65.597736861818,0.390696039190559,-0.303241858491646,6.3435676631916e-09,7.69770134797746e-10,-7.70232842334522e-10
211227A,66.3374318298625,0.302163099458852,-0.348998928853845,7.24414821948859e-09,8.80951947404592e-10,-8.88448418679673e-10
211227A,67.0078148631235,0.341594137853107,-0.368219933802195,6.71782406888604e-09,8.30362569787815e-10,-8.46654652692924e-10
211227A,67.6125019325382,0.263516012377579,-0.263092931561616,9.05683265142322e-09,1.12826770838776e-09,-1.16172764647102e-09
211227A,68.183029221859,0.29788276507179,-0.307011276943214,8.3666822707347e-09,1.06446095622761e-09,-1.11471578292085e-09
211227A,68.7895655601507,0.31576838093514,-0.308653573219857,5.76343616692677e-09,9.31719501000192e-10,-9.67032280171898e-10
211227A,69.4426510274786,0.338752888506534,-0.337317086392758,6.00171697701029e-09,9.83363168700147e-10,-9.57641574555432e-10
211227A,70.2491304285366,0.482451514601465,-0.467726512551536,7.01086219175148e-09,8.53572164061524e-10,-8.62488463832158e-10
211227A,71.1328384593357,0.386869475623655,-0.401256516197648,7.99918880283475e-09,1.09677743635713e-09,-1.02957909271591e-09
211227A,71.8546363283231,0.321521639824255,-0.334928393363654,6.01288319817957e-09,1.06879931501722e-09,-9.72478277931093e-10
211227A,72.635169198949,0.346052715342353,-0.459011230801735,5.81013380415725e-09,9.19698255667781e-10,-8.75145212569838e-10
211227A,80.12,0.254,-0.342,5.637612267e-09,9.02756631e-10,-9.0175848e-10
211227A,80.682,0.361,-0.308,7.70252847e-09,9.93307623e-10,-9.91313757e-10
211227A,81.326,0.29,-0.283,6.041007168e-09,9.36073803e-10,-9.34568964e-10
211227A,81.927,0.306,-0.311,5.605767048e-09,8.6925006e-10,-8.67773844e-10
211227A,82.624,0.384,-0.39,6.52774311e-09,8.59832484e-10,-8.58396462e-10
211227A,83.324,0.313,-0.317,5.495028924e-09,8.45798079e-10,-8.45063625e-10
211227A,84.058,0.454,-0.421,5.741267721e-09,7.49869617e-10,-7.4888121e-10
211227A,84.818,0.311,-0.306,5.524122072e-09,8.7291015e-10,-8.71369989e-10
211227A,85.402,0.356,-0.272,5.877859113e-09,8.95060089e-10,-8.92097304e-10
211227A,86.123,0.426,-0.365,6.50829165e-09,8.72768253e-10,-8.67172761e-10
211227A,86.878,0.319,-0.329,5.343951249e-09,8.47933842e-10,-8.44194582e-10
211227A,87.656,0.402,-0.459,4.019091846e-09,6.50754258e-10,-6.47524731e-10
211227A,88.623,0.437,-0.565,3.404793546e-09,5.677637574e-10,-5.64923625e-10
211227A,89.522,0.461,-0.462,3.747981489e-09,6.2023605e-10,-6.16714203e-10
211227A,90.399,0.365,-0.416,4.841076198e-09,8.14063089e-10,-8.06198463e-10
211227A,91.134,0.493,-0.37,5.768925456e-09,8.98402281e-10,-8.8828131e-10
211227A,92.054,0.388,-0.427,4.80806718e-09,8.2226571e-10,-8.14656864e-10
211227A,92.825,0.339,-0.384,5.423763744e-09,9.35135943e-10,-9.22867029e-10
211227A,93.604,0.408,-0.44,4.684480374e-09,8.06887242e-10,-7.87588032e-10
211227A,94.508,0.527,-0.496,3.886174551e-09,6.72158781e-10,-6.52752387e-10
211227A,95.431,0.432,-0.395,4.735664388e-09,8.41449819e-10,-8.05604688e-10
211227A,96.237,0.439,-0.374,4.818485343e-09,8.56463496e-10,-8.19529473e-10
211227A,97.266,0.426,-0.589,3.799571097e-09,6.94381191e-10,-6.45753759e-10
211227A,98.342,0.584,-0.65,3.172972215e-09,5.731465257e-10,-5.184286674e-10
211227A,99.487,0.632,-0.56,3.286695048e-09,6.09478065e-10,-5.322289119e-10
211227A,100.624,0.5,-0.505,4.080211086e-09,7.80557127e-10,-6.60917859e-10
211227A,101.689,0.476,-0.565,4.501757841e-09,8.47452123e-10,-7.11606147e-10
211227A,102.588,0.439,-0.424,5.833668246e-09,1.07858163e-09,-8.96244594e-10
211227A,103.612,0.517,-0.584,4.068962247e-09,7.67284581e-10,-6.71734308e-10
211227A,104.569,0.455,-0.44,5.23566435e-09,8.72531961e-10,-8.07701475e-10
211227A,105.385,0.427,-0.362,5.944757763e-09,9.29399163e-10,-9.06760806e-10
211227A,106.311,0.556,-0.499,4.311877122e-09,6.99578397e-10,-6.82847949e-10
211227A,107.489,0.723,-0.622,3.432864792e-09,5.617879449e-10,-5.363329629e-10
211227A,108.811,0.601,-0.599,3.901523787e-09,6.44650251e-10,-6.017148984e-10
211227A,109.953,0.557,-0.541,4.20621684e-09,6.54551982e-10,-6.51128184e-10
211227A,111.189,0.466,-0.678,4.10791206e-09,6.27298014e-10,-6.23939379e-10
211227A,112.515,0.816,-0.86,2.940065646e-09,4.545378075e-10,-4.544652756e-10
211227A,114.248,0.929,-0.918,2.668155063e-09,4.127361084e-10,-4.124632155e-10
211227A,116.042,0.607,-0.864,3.34893972e-09,5.16962439e-10,-5.174647422e-10
211227A,117.258,0.485,-0.61,4.569764871e-09,6.87337497e-10,-6.91876374e-10
211227A,118.344,0.7,-0.601,3.788701665e-09,5.820308004e-10,-5.848589964e-10
211227A,119.884,1.006,-0.841,2.707548228e-09,4.060199955e-10,-4.096199772e-10
211227A,121.847,1.13,-0.957,2.326482312e-09,3.717373149e-10,-3.67467555e-10
211227A,123.47,0.662,-0.493,4.332190926e-09,6.66518223e-10,-6.5893191e-10
211227A,124.969,0.888,-0.837,2.898520884e-09,4.353467559e-10,-4.386916884e-10
211227A,126.806,0.98,-0.949,2.593721865e-09,3.922092153e-10,-3.931830672e-10
211227A,128.521,0.891,-0.735,3.076111983e-09,4.604804904e-10,-4.651251507e-10
211227A,130.526,1.031,-1.114,2.331325689e-09,3.479839398e-10,-3.521366499e-10
211227A,132.589,0.792,-1.032,2.706909387e-09,4.164480852e-10,-4.179946407e-10
211227A,134.294,0.973,-0.913,2.62357809e-09,4.062129267e-10,-4.056419283e-10
211227A,136.464,0.992,-1.197,2.227585584e-09,3.575889051e-10,-3.521071743e-10
211227A,138.405,1.065,-0.949,2.384208204e-09,3.860362695e-10,-3.834165342e-10
211227A,140.83,1.073,-1.361,1.972878642e-09,3.200531901e-10,-3.173854047e-10
211227A,143.179,1.16,-1.276,1.95351366e-09,3.157610799e-10,-3.092281542e-10
211227A,145.308,0.991,-0.969,2.342270637e-09,3.763947033e-10,-3.648313158e-10
211227A,147.553,1.52,-1.253,1.680103719e-09,2.657469549e-10,-2.568204156e-10
211227A,150.168,1.077,-1.095,2.114016219e-09,3.363668385e-10,-3.284987412e-10
211227A,152.322,0.92,-1.076,2.300526732e-09,3.743572329e-10,-3.58936074e-10
211227A,154.489,1.226,-1.247,1.863645357e-09,3.132716097e-10,-2.88155049e-10
211227A,157.235,1.513,-1.52,1.461982452e-09,2.513930076e-10,-2.343741981e-10
211227A,160.197,1.349,-1.449,1.584686817e-09,2.743518204e-10,-2.544053652e-10
211227A,163.065,1.05,-1.519,1.752107007e-09,3.112914462e-10,-2.780855385e-10
211227A,165.761,1.606,-1.646,1.419413352e-09,2.423439984e-10,-2.207317455e-10
211227A,169.308,1.832,-1.94,1.227580179e-09,2.07707367e-10,-1.89979986e-10
211227A,172.795,1.846,-1.655,1.264700556e-09,2.287975851e-10,-2.079059619e-10
211227A,176.679,1.981,-2.038,1.116733653e-09,2.048836167e-10,-1.796856327e-10
211227A,180.239,2.325,-1.579,1.140247143e-09,2.043567099e-10,-1.818234054e-10
211227A,185.243,1.786,-2.68,9.68884896e-10,1.824626727e-10,-1.623547107e-10
211227A,189.699,2.223,-2.67,9.18181992e-10,1.660740564e-10,-1.508746953e-10
211227A,193.341,2.355,-1.419,1.208045895e-09,2.240360577e-10,-1.912442091e-10
211227A,198.923,3.352,-3.228,6.54484992e-10,1.175084379e-10,-1.025457951e-10
211227A,204.472,1.827,-2.198,1.058418858e-09,1.883047488e-10,-1.731261546e-10
211227A,207.879,1.694,-1.58,1.331165598e-09,2.372897247e-10,-2.178425277e-10
211227A,211.736,2.138,-2.164,1.032944388e-09,1.863334158e-10,-1.653657894e-10
211227A,216.557,3.204,-2.683,7.43635284e-10,1.337040012e-10,-1.189911093e-10
211227A,223.089,2.899,-3.328,6.56389335e-10,1.186553676e-10,-1.085179536e-10
211227A,229.105,2.712,-3.117,7.01150226e-10,1.287130026e-10,-1.177567881e-10
211227A,234.772,3.768,-2.955,4.231693746e-10,8.87012154e-11,-8.11015044e-11
211227A,242.761,2.432,-4.22,4.10216919e-10,8.78290056e-11,-8.06345841e-11
211227A,247.333,3.601,-2.141,4.755195627e-10,1.006796364e-10,-9.50688585e-11
211227A,256.207,5.957,-5.274,2.55914589e-10,5.510660127e-11,-5.014918293e-11
211227A,272.617,8.822,-8.73,2.672030739e-10,6.024159183e-11,-6.024159183e-11
211227A,293.421,10.584,-11.982,2.304245895e-10,4.917243219e-11,-4.917243219e-11
211227A,319.319,12.266,-15.314,1.975265313e-10,4.1223819e-11,-4.1223819e-11
211227A,351.74,24.977,-20.154,1.037332233e-10,2.333874963e-11,-2.333874963e-11
211227A,658.302,4769.285,-281.585,2.031802437e-12,4.21214241e-13,-4.21214241e-13
211227A,56286.786,201316.286,-45835.762,4.891783365e-14,2.05483908e-14,-1.661174172e-14
211221A,48.2300346254596,4.45866640813262,-3.78134756568328,8.28612994795456e-10,9.5473597209792e-11,-9.68910065994179e-11
211221A,62.08,1.793,-1.973,5.53305288e-10,1.043699412e-10,-1.043124672e-10
211221A,65.859,1.983,-1.986,5.723463006e-10,1.068517056e-10,-1.067790288e-10
211221A,70.541,2.157,-2.698,4.552560036e-10,8.35927812e-11,-8.35319082e-11
211221A,75.497,3.291,-2.799,3.727666614e-10,6.87864282e-11,-6.8755281e-11
211221A,81.159,2.48,-2.371,4.643002482e-10,9.20370714e-11,-9.19666812e-11
211221A,85.693,2.4,-2.053,5.40241695e-10,1.04918478e-10,-1.047159594e-10
211221A,90.658,2.368,-2.565,4.42388193e-10,9.70449726e-11,-9.68726124e-11
211221A,94.512,2.539,-1.485,5.972411946e-10,1.17073302e-10,-1.167363066e-10
211221A,100.441,4.162,-3.391,3.177531666e-10,6.33183024e-11,-6.31063902e-11
211221A,149.3,22.329,-35.339,1.451900772e-10,3.131552466e-11,-3.131552466e-11
211221A,179.206,7.468,-7.576,5.08129797e-10,1.144272114e-10,-1.144272114e-10
211221A,200.677,11.07,-14.003,3.368824914e-10,7.22864712e-11,-7.22864712e-11
211221A,222.249,19.586,-10.502,2.577237366e-10,5.828558232e-11,-5.828558232e-11
211221A,293.8,68.386,-51.965,6.26987574e-11,1.436375376e-11,-1.436375376e-11
211221A,426.258,53.773,-64.072,6.42925176e-11,1.456083396e-11,-1.456083396e-11
211221A,529.48,63.38,-49.449,7.37568786e-11,1.597040544e-11,-1.597040544e-11
211221A,614.005,21.48,-21.145,1.875362406e-10,4.131171174e-11,-4.131171174e-11
211221A,670.095,25.565,-34.611,1.382606904e-10,2.982094728e-11,-2.982094728e-11
211221A,719.616,23.683,-23.956,1.600715172e-10,3.594499356e-11,-3.594499356e-11
211221A,806.922,46.699,-63.623,6.80917344e-11,1.555436784e-11,-1.555436784e-11
211221A,926.139,80.421,-72.518,5.403579408e-11,1.174606026e-11,-1.174606026e-11
211221A,25808.127,7407.161,-4434.161,1.054207266e-12,2.182365648e-13,-2.182365648e-13
211221A,58276.835,9971.546,-6751.894,5.608693608e-13,1.37444745e-13,-1.37444745e-13
211221A,73473.08,190.555,-190.555,2.0679516e-12,0.0,inf
211207A,118.242,39.949,-30.256,2.14810844e-11,4.84648855e-12,-4.84648855e-12
211207A,198.729,54.741,-40.537,1.569484045e-11,3.541017e-12,-3.541017e-12
211207A,300.431,48.317,-46.961,1.55459631e-11,3.5004351e-12,-3.5004351e-12
211207A,436.908,64.787,-88.16,9.72741175e-12,2.179429935e-12,-2.179429935e-12
211207A,576.85,90.327,-75.156,5.44424915e-12,1.22479484e-12,-1.22479484e-12
211207A,726.768,48.224,-59.591,7.7660102e-12,1.74004829e-12,-1.74004829e-12
211207A,840.936,49.393,-65.944,7.27857515e-12,1.634142395e-12,-1.634142395e-12
211207A,964.436,93.884,-74.107,4.98497755e-12,1.11693154e-12,-1.11693154e-12
211207A,1147.564,118.864,-89.244,2.99606781e-12,7.78826425e-13,-7.78826425e-13
211207A,1432.637,184.806,-166.21,2.475284515e-12,5.4859533e-13,-5.4859533e-13
211207A,7581.195,4931.382,-2703.401,6.31748695e-13,1.096179295e-13,-1.096179295e-13
211207A,60352.129,61539.819,-31055.201,5.7032343e-14,1.526587965e-14,-1.526587965e-14
211207A,149530.179,383.617,-383.617,4.074605e-13,0.0,inf
211106A,40294.262,754.639,-1010.5,7.86072045e-13,2.016444298e-13,-2.016444298e-13
211106A,48723.217,9482.825,-3423.623,4.451224261e-13,1.171278856e-13,-1.171278856e-13
211106A,199215.524,229617.401,-74209.159,1.172089457e-13,2.792419201e-14,-2.792419201e-14
211106A,2330649.768,14328.192,-14328.192,3.2158599e-13,0.0,inf
211023B,84.191400286188,3.73920274115579,-4.49197019490991,6.58687834906731e-11,1.64682907793104e-11,-1.64689969183143e-11
211023B,139.219,17.504,-30.135,3.099356048e-11,6.62643849e-12,-6.62643849e-12
211023B,165.294,8.981,-8.57,8.00896888e-11,1.749413966e-11,-1.749413966e-11
211023B,194.447,14.93,-20.172,4.03362474e-11,8.81072151e-12,-8.81072151e-12
211023B,222.843,11.608,-13.465,6.20177887e-11,1.293160439e-11,-1.293160439e-11
211023B,244.141,15.382,-9.691,5.87136981e-11,1.256479969e-11,-1.256479969e-11
211023B,282.323,34.869,-22.799,2.327935622e-11,5.24860936e-12,-5.24860936e-12
211023B,358.204,71.817,-41.012,1.181716476e-11,2.664320478e-12,-2.664320478e-12
211023B,469.516,35.725,-39.495,1.646598787e-11,3.69330297e-12,-3.69330297e-12
211023B,563.598,59.487,-58.357,6.43901096e-12,1.450479247e-12,-1.450479247e-12
211023B,697.124,66.37,-74.04,5.35858817e-12,1.20966049e-12,-1.20966049e-12
211023B,858.691,87.838,-95.196,4.16080916e-12,9.41268624e-13,-9.41268624e-13
211023B,1039.426,135.269,-92.897,3.29424362e-12,7.49214641e-13,-7.49214641e-13
211023B,1274.183,103.605,-99.488,3.015026336e-12,7.64810179e-13,-7.64810179e-13
211023B,1584.086,242.502,-206.298,2.435917492e-12,4.6445757e-13,-4.6445757e-13
211023B,16473.394,2632.628,-3736.698,3.2128198e-13,7.36414506e-14,-7.36414506e-14
211023B,23440.067,5091.527,-1010.413,3.7571581e-13,8.03591505e-14,-8.03591505e-14
211023B,86315.245,6477.555,-6709.385,2.805171104e-13,6.63020388e-14,-6.63020388e-14
211023B,249262.554,147075.105,-76376.692,4.43232727e-14,1.527223091e-14,-1.276834359e-14
210919A,567.937,39621.815,-462.395,6.63127979e-14,1.733407092e-14,-1.733407092e-14
210919A,309045.545,1031.754,-28949.088,1.5238915e-13,0.0,inf
210726A,87.807,13.967,-8.598,6.61813652e-11,1.489911876e-11,-1.489911876e-11
210726A,115.973,8.367,-14.198,6.88353626e-11,1.506952556e-11,-1.506952556e-11
210726A,134.608,12.298,-10.268,6.96963144e-11,1.525800176e-11,-1.525800176e-11
210726A,157.909,14.07,-11.003,5.93561754e-11,1.333240826e-11,-1.333240826e-11
210726A,189.802,49.875,-17.822,2.313523812e-11,5.07570114e-12,-5.07570114e-12
210726A,308.1,107.089,-68.423,7.70400392e-12,1.75832797e-12,-1.75832797e-12
210726A,522.759,143.161,-107.571,2.4365968e-12,6.46923264e-13,-6.46923264e-13
210726A,825.457,116.268,-159.537,2.179324616e-12,5.84122246e-13,-5.84122246e-13
210726A,1090.383,212.396,-148.658,1.669017038e-12,4.48055656e-13,-4.48055656e-13
210726A,1557.165,234.532,-254.385,1.515103158e-12,3.70370596e-13,-3.70370596e-13
210726A,6540.988,816.612,-903.396,5.64694134e-13,1.45356299e-13,-1.45356299e-13
210726A,14120.936,3835.137,-2662.788,3.53878678e-13,9.18033068e-14,-9.18033068e-14
210726A,106615.34,111810.689,-37865.837,9.4168294e-14,1.89532976e-14,-1.89532976e-14
210726A,450510.24,119457.842,-145538.552,6.59586874e-14,1.89956655e-14,-1.89956655e-14
210726A,796744.603,42741.395,-79346.769,5.3983919e-14,1.96188928e-14,-1.616245038e-14
210725B,82.2255810654893,2.67707298629142,-2.31248405831768,1.69521606314507e-10,4.11174676534222e-11,-4.11189590176029e-11
210725B,97.164,2.717,-2.622,4.77343175e-10,7.3377715e-11,-7.41106875e-11
210725B,102.181,1.596,-2.301,4.42766785e-10,8.12514575e-11,-8.16424775e-11
210725B,105.666,2.547,-1.889,5.741914e-10,8.610971e-11,-8.65913125e-11
210725B,110.552,1.798,-2.34,5.996267e-10,9.1576295e-11,-9.191744e-11
210725B,113.938,2.114,-1.588,4.52949265e-10,8.287401e-11,-8.3050425e-11
210725B,117.988,2.196,-1.935,3.91169815e-10,7.37408525e-11,-7.38590325e-11
210725B,122.743,2.467,-2.559,3.140750825e-10,6.1042155e-11,-6.11192e-11
210725B,127.931,2.216,-2.721,3.33872655e-10,6.289323e-11,-6.2960015e-11
210725B,133.474,3.408,-3.327,2.399888575e-10,4.661870875e-11,-4.66592025e-11
210725B,139.225,2.108,-2.342,3.5909373e-10,6.762898e-11,-6.7688735e-11
210725B,143.496,2.058,-2.164,4.641010775e-10,7.73889475e-11,-7.746395e-11
210725B,147.443,2.273,-1.888,3.742601475e-10,7.26877775e-11,-7.27389825e-11
210725B,153.054,4.661,-3.338,1.990389175e-10,3.74785355e-11,-3.750533975e-11
210725B,185.681,23.865,-21.267,4.97066125e-11,1.06967815e-11,-1.06967815e-11
210725B,227.519,17.129,-17.974,6.45892175e-11,1.411413575e-11,-1.411413575e-11
210725B,278.786,38.575,-34.137,2.5254895e-11,5.65554475e-12,-5.65554475e-12
210725B,404.668,3497.154,-87.308,4.614115325e-12,9.7054375e-13,-9.7054375e-13
210725B,22148.244,16548.644,-10547.905,2.211399075e-13,6.44427275e-14,-6.44427275e-14
210725B,141810.938,5933.067,-34890.973,1.13373e-13,0.0,inf
210708A,148.551,42.273,-60.527,1.978188e-11,4.479054e-12,-4.479054e-12
210708A,232.122,8.849,-41.297,1.0424391e-10,2.0979219e-11,-2.0979219e-11
210708A,265.05,11.024,-24.079,3.077121e-10,5.65908e-11,-5.65908e-11
210708A,279.829,3.767,-3.755,2.7907698e-10,6.259812e-11,-6.259812e-11
210708A,288.72,4.905,-5.124,2.1057741e-10,4.730715e-11,-4.730715e-11
210708A,299.495,9.174,-5.87,1.3868244e-10,3.125322e-11,-3.125322e-11
210708A,315.91,7.803,-7.241,1.3909341e-10,3.134583e-11,-3.134583e-11
210708A,338.372,15.429,-14.659,7.350561e-11,1.6159845e-11,-1.6159845e-11
210708A,718.941,4350.197,-365.14,1.7833002e-12,2.789679e-13,-2.789679e-13
210708A,16732.342,29258.376,-7113.183,6.490995e-14,2.4739086e-14,-2.0195994e-14
210704A,55134.711,4354.353,-1681.541,7.5857e-13,2.0244856e-13,-2.0244856e-13
210704A,62583.115,9480.968,-3094.051,4.279472e-13,8.288188e-14,-8.288188e-14
210704A,227636.534,91548.179,-58317.659,8.293488e-14,2.3846112e-14,-2.3846112e-14
210704A,389768.043,65381.027,-26400.329,5.140836e-14,2.15066e-14,-1.7184912e-14
210704A,232577.913,63945.143,-35722.775,2.86976e-13,0.0,inf
210410A,62.1624843677483,0.456917700015964,-0.450426317218835,2.33408303110237e-09,3.47945704170365e-10,-3.47945461013682e-10
210410A,63.0379036112028,0.417601419055408,-0.418501543438495,2.52669887892594e-09,3.76658398810481e-10,-3.76658348717119e-10
210410A,63.8674723229248,0.369101747631767,-0.411967292666631,2.70949959454479e-09,4.03908669332935e-10,-4.03908678039809e-10
210410A,64.7283369967344,0.536588023109744,-0.491762926177756,2.05985972344135e-09,3.07065981566108e-10,-3.07066007129312e-10
210410A,65.5926793129724,0.399896706894552,-0.327754293128251,2.90955768072009e-09,4.3373156675975e-10,-4.33731606105851e-10
210410A,66.4201696212268,0.465558397160024,-0.427593601359874,2.36985022650973e-09,3.53276671069681e-10,-3.53276730809153e-10
210410A,67.2819187276656,0.345603280856423,-0.396190709278784,2.85923171420331e-09,4.26229409146356e-10,-4.26229527032673e-10
210410A,68.1534805524282,0.582471484055617,-0.525958543906171,1.91071274917952e-09,2.84832447152021e-10,-2.84832595087714e-10
210410A,69.4570931328906,0.793810950361362,-0.721141096406839,2.61748271336983e-09,2.85591166408155e-10,-2.85591650559688e-10
210410A,78.098,0.541,-0.525,2.111432212e-09,3.147539964e-10,-3.14754088e-10
210410A,79.313,0.69,-0.674,1.624097312e-09,2.47071535e-10,-2.470715808e-10
210410A,80.461,0.443,-0.458,2.461792594e-09,3.745089358e-10,-3.745089816e-10
210410A,81.361,0.514,-0.457,2.316430264e-09,3.453133136e-10,-3.453133594e-10
210410A,82.46,0.543,-0.585,1.994900524e-09,2.973824228e-10,-2.973824686e-10
210410A,83.56,0.415,-0.557,2.316432096e-09,3.453135884e-10,-3.453136342e-10
210410A,84.478,0.41,-0.503,2.465397512e-09,3.67520039e-10,-3.675200848e-10
210410A,85.496,0.541,-0.609,1.957838248e-09,2.918575688e-10,-2.918576146e-10
210410A,86.812,0.65,-0.775,1.578967366e-09,2.353787492e-10,-2.35378795e-10
210410A,88.039,0.581,-0.577,1.942211288e-09,2.895279976e-10,-2.895280434e-10
210410A,89.096,0.608,-0.477,2.04085716e-09,3.104725666e-10,-3.104726124e-10
210410A,90.262,0.553,-0.557,2.025633698e-09,3.019638426e-10,-3.019638884e-10
210410A,91.508,0.579,-0.693,1.687836714e-09,2.675572338e-10,-2.675572338e-10
210410A,92.863,0.813,-0.776,1.415454954e-09,2.110037602e-10,-2.110037602e-10
210410A,94.433,0.654,-0.757,1.569890264e-09,2.388251076e-10,-2.388251076e-10
210410A,95.772,0.748,-0.686,1.56824925e-09,2.337809704e-10,-2.337809704e-10
210410A,97.311,0.642,-0.79,1.546492418e-09,2.352656232e-10,-2.35265669e-10
210410A,98.519,0.503,-0.566,2.071099358e-09,3.15073314e-10,-3.15073314e-10
210410A,99.6,0.753,-0.578,1.663452336e-09,2.530586026e-10,-2.530586026e-10
210410A,101.103,0.821,-0.75,1.430728796e-09,2.132806614e-10,-2.132806614e-10
210410A,102.792,0.782,-0.869,1.32024454e-09,2.050035022e-10,-2.050035022e-10
210410A,105.142,1.907,-1.567,6.4686088e-10,9.64284192e-11,-9.64284192e-11
210410A,109.108,2.149,-2.059,5.18042884e-10,8.0440143e-11,-8.0440143e-11
210410A,112.927,1.757,-1.67,4.372664316e-10,7.98336136e-11,-7.98336136e-11
210410A,116.912,2.561,-2.228,3.128431288e-10,5.71170884e-11,-5.71170884e-11
210410A,122.89,3.086,-3.417,2.35961142e-10,4.30804418e-11,-4.30804418e-11
210410A,130.248,3.589,-4.272,1.934769246e-10,3.53239141e-11,-3.53239141e-11
210410A,136.827,2.371,-2.989,2.793937858e-10,5.10101164e-11,-5.10101164e-11
210410A,141.294,2.772,-2.096,3.113366752e-10,5.68420594e-11,-5.68420594e-11
210410A,147.441,3.017,-3.375,2.412474696e-10,4.40455852e-11,-4.40455852e-11
210410A,154.006,3.283,-3.547,2.15846011e-10,4.062918916e-11,-4.062918458e-11
210410A,160.889,2.801,-3.6,2.340234356e-10,4.27266597e-11,-4.27266597e-11
210410A,167.315,3.753,-3.625,1.89193846e-10,3.790290294e-11,-3.790290294e-11
210410A,175.721,3.453,-4.653,1.84655982e-10,3.475821998e-11,-3.475821998e-11
210410A,183.057,3.096,-3.884,2.159100852e-10,4.06412483e-11,-4.06412483e-11
210410A,208.136,8.838,-13.728,1.389588488e-10,3.11164055e-11,-3.11164055e-11
210410A,235.046,14.523,-18.072,1.007870678e-10,2.208327608e-11,-2.208327608e-11
210410A,261.465,10.669,-11.897,1.528831938e-10,3.284962864e-11,-3.284962864e-11
210410A,285.189,14.526,-13.055,1.122549756e-10,2.520853526e-11,-2.520853526e-11
210410A,306.691,13.083,-6.976,1.55906177e-10,3.491133854e-11,-3.491133854e-11
210410A,337.711,17.165,-17.937,9.22784812e-11,2.027411196e-11,-2.027411196e-11
210410A,377.843,22.164,-22.967,6.81305228e-11,1.543195734e-11,-1.543195734e-11
210410A,424.879,22.768,-24.871,6.86009346e-11,1.505149674e-11,-1.505149674e-11
210410A,471.468,16.296,-23.821,7.69767012e-11,1.73357809e-11,-1.73357809e-11
210410A,507.899,19.982,-20.135,8.16289736e-11,1.79588441e-11,-1.79588441e-11
210410A,549.457,21.048,-21.576,7.29986048e-11,1.641637796e-11,-1.641637796e-11
210410A,613.356,24.846,-42.851,4.84166914e-11,1.06084937e-11,-1.06084937e-11
210410A,662.002,28.854,-23.799,5.90818626e-11,1.324879042e-11,-1.324879042e-11
210410A,718.847,29.678,-27.99,5.59762104e-11,1.224818866e-11,-1.224818866e-11
210410A,792.061,46.727,-43.536,3.4437707e-11,7.72247082e-12,-7.72247082e-12
210410A,887.125,64.493,-48.336,2.865014878e-11,6.33780858e-12,-6.33780858e-12
210410A,1029.348,62.673,-77.73,2.523986704e-11,5.31546098e-12,-5.31546098e-12
210410A,4458.616,106.97,-116.182,5.05656274e-12,1.141537978e-12,-1.141537978e-12
210410A,4667.733,83.395,-102.147,6.06566498e-12,1.370808656e-12,-1.370808656e-12
210410A,4881.994,167.499,-130.865,6.57876696e-12,1.129056562e-12,-1.129056562e-12
210410A,15116.528,13757.232,-3984.192,9.38496502e-13,1.784092284e-13,-1.784092284e-13
210410A,71710.341,110944.883,-31409.813,8.04671192e-14,4.70434242e-14,-3.474634404e-14
210323A,72.8682918979014,1.45305011031552,-2.48588985227759,4.06075370833274e-10,7.46543348267856e-11,-7.46733114850448e-11
210323A,76.9119670197072,2.68889500650735,-2.59062501149035,3.31456380889654e-10,5.3771011482889e-11,-5.37742385409217e-11
210323A,90.808,2.022,-1.938,4.308104164e-10,7.38834382e-11,-7.38844548e-11
210323A,96.319,2.951,-3.489,2.337513464e-10,4.267700944e-11,-4.26776636e-11
210323A,101.597,2.078,-2.327,3.253341e-10,6.1238437e-11,-6.1239763e-11
210323A,106.988,2.315,-3.313,2.48775059e-10,4.8299108e-11,-4.83003898e-11
210323A,123.826,9.87,-7.682,2.239576872e-10,4.68912938e-11,-4.68912938e-11
210323A,143.298,7.949,-9.602,2.140162232e-10,4.57859402e-11,-4.57859402e-11
210323A,160.442,8.356,-9.195,1.943490354e-10,4.358145636e-11,-4.358145636e-11
210323A,176.201,12.655,-7.403,1.655419506e-10,3.708647852e-11,-3.708647852e-11
210323A,205.463,15.989,-16.606,1.154991526e-10,2.468820172e-11,-2.468820172e-11
210323A,240.749,18.313,-19.297,9.56324902e-11,2.092527892e-11,-2.092527892e-11
210323A,278.534,43.21,-19.473,5.42807824e-11,1.219523968e-11,-1.219523968e-11
210323A,378.03,56.544,-56.286,3.03166474e-11,6.8437512e-12,-6.8437512e-12
210323A,555.904,111.851,-121.33,1.471276118e-11,3.327648272e-12,-3.327648272e-12
210323A,756.464,86.802,-88.71,8.13849738e-12,1.843698688e-12,-1.843698688e-12
210323A,892.177,56.397,-48.91,1.042703194e-11,2.357495842e-12,-2.357495842e-12
210323A,1000.43,55.959,-51.856,1.019640076e-11,2.296063146e-12,-2.296063146e-12
210323A,1113.787,70.475,-57.398,8.6266687e-12,1.9386783e-12,-1.9386783e-12
