GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
180418A,826428,Johnson,RATIR,r,6149.31,3561.2,19.96,0.12,2019ApJ...881...12B,0.02,0.04592769828064338,3.930043235761625e-05 ± 4.3436443053536645e-06
180418A,826428,Johnson,RATIR,i,7531.29,3561.2,19.77,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,4.628630603477615e-05 ± 5.115751597700923e-06
180418A,826428,Johnson,RATIR,r,6149.31,3648.5,19.8,0.1,2019ApJ...881...12B,0.02,0.04592769828064338,4.554045110311193e-05 ± 4.194430553529991e-06
180418A,826428,Johnson,RATIR,i,7531.29,3648.5,20.13,0.14,2019ApJ...881...12B,0.02,0.03356568392370572,3.3224046235801557e-05 ± 4.28406684112409e-06
180418A,826428,Swift,UVOT,UVW1,2684.14,3754.115,22.28,0.25,2019ApJ...881...12B,0.02,0.11477051477761839,4.9423608959371535e-06 ± 1.1380206523181588e-06
180418A,826428,Johnson,RATIR,r,6149.31,3754.2,19.84,0.09,2019ApJ...881...12B,0.02,0.04592769828064338,4.3893208522107636e-05 ± 3.6384425145606333e-06
180418A,826428,Johnson,RATIR,i,7531.29,3754.2,19.8,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,4.5024875694219437e-05 ± 4.146944303496784e-06
180418A,826428,Johnson,RATIR,r,6149.31,3852.2,19.87,0.12,2019ApJ...881...12B,0.02,0.04592769828064338,4.269699673254358e-05 ± 4.719046473214575e-06
180418A,826428,Johnson,RATIR,i,7531.29,3852.2,19.8,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,4.5024875694219437e-05 ± 5.391027594545819e-06
180418A,826428,Johnson,RATIR,r,6149.31,3950.9,20.01,0.12,2019ApJ...881...12B,0.02,0.04592769828064338,3.75316215289605e-05 ± 4.148148107926985e-06
180418A,826428,Johnson,RATIR,i,7531.29,3950.9,19.81,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,4.461208515265859e-05 ± 4.108924889595706e-06
180418A,826428,Swift,UVOT,U,3520.95,3958.72,21.54,0.2,2019ApJ...881...12B,0.02,0.085911796875,9.514609479230501e-06 ± 1.7526558362028795e-06
180418A,826428,Swift,UVOT,V,5411.43,4038.395,20.24,3-sigma,2019ApJ...881...12B,0.02,0.055010033112582776,"3.0621768023916813e-05 (+0.0, -inf)"
180418A,826428,Johnson,RATIR,r,6149.31,4130.6,20.05,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,3.617406613328239e-05 ± 4.331281002436794e-06
