GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
211227A,1091101,Nanshan/NEXT,UVOT,r,6141.12,90.14,20.0,UL,GCN 31320,0.02,0.046045801442041054,"3.7883017925361034e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,156.0,20.4,3-sigma,GCN 31316,0.02,0.07968499195093906,"2.7033373557194475e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,157.0,20.2,3-sigma,GCN 31328,0.02,0.07968499195093906,"3.250126357554174e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,U,3520.95,419.0,20.22,3-sigma,GCN 31328,0.02,0.085911796875,"3.209157024189821e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,551.5,20.3,3-sigma,GCN 31328,0.02,0.07968499195093906,"2.9641504673657536e-05 (+0.0, -inf)"
211227A,1091101,BOOTES-2/TELMA,UVOT,clear,,600.0,19.9,UL,GCN 31318,0.02,,"nan"
211227A,1091101,Swift,UVOT,B,4346.25,646.0,18.47,3-sigma,GCN 31328,0.02,0.072241,"0.00015882638417657904 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVW2,2085.73,782.0,20.73,3-sigma,GCN 31328,0.02,0.17240541798215514,"2.1726432273905393e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,V,5411.43,2773.5,18.69,3-sigma,GCN 31328,0.02,0.055010033112582776,"0.00012765277556901834 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,U,3520.95,2862.5,20.42,3-sigma,GCN 31328,0.02,0.085911796875,"2.6692605485007508e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVM2,2245.78,2887.5,22.09,3-sigma,GCN 31328,0.02,0.15546670144131777,"6.112416360548448e-06 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVW1,2684.14,3003.0,21.21,3-sigma,GCN 31328,0.02,0.11477051477761839,"1.3241416762219058e-05 (+0.0, -inf)"
211227A,1091101,CAHA,CAFOS,i',7457.89,3657.312,23.4,UL,GCN 31341,0.02,0.03422317429577464,"1.6357446880315231e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,g,4794.31,3843.936,21.99,UL,GCN 31323,0.02,0.06478343103448275,"6.165092844464016e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,r,6121.47,3996.0,22.62,UL,GCN 31323,0.02,0.04632916250693289,"3.3927973006011248e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,i,7590.22,4146.336,22.68,UL,GCN 31323,0.02,0.033148196185286104,"3.1716519838344956e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,z,8972.92,4297.536,21.36,UL,GCN 31323,0.02,0.0250234988179669,"1.0617827085336202e-05 (+0.0, -inf)"
211227A,1091101,LCO,Sinistro,R,6312.69,4680.0,22.81,UL,GCN 31321,0.02,0.0442315100591716,"2.8426202986791424e-06 (+0.0, -inf)"
211227A,1091101,LCO,Sinistro,I,8592.35,4680.0,22.42,UL,GCN 31321,0.02,0.026887040115648714,"4.006646850043097e-06 (+0.0, -inf)"
211227A,1091101,VLT,X-shooter,r,6141.12,18176.4,24.7,UL,GCN 31324,0.02,0.046045801442041054,"4.993954365696036e-07 (+0.0, -inf)"
211227A,1091101,Gemini South,GMOS,i,7719.34,198720,26.0,UL,GCN 31376,0.02,0.0322536,"1.4891131161141707e-07 (+0.0, -inf)"
211227A,1091101,Lijiang,2.4m,R,6414.2,587520.0,21.5,UL,GCN 31386,0.02,0.043422123893805314,"9.492816775512359e-06 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,White,3885.68,138.0,21.5,3-sigma,GCN 31317,0.143,0.5697476924492142,"1.541435390386958e-05 (+0.0, -inf)"
211221A,1090472,Assy-Turgen,NUTTelA-TAO,i',7457.89,175.0,17.9,UL,GCN 31285,0.143,0.24469569621478865,"0.00031470564087197076 (+0.0, -inf)"
211221A,1090472,BOOTES-4/MET,ALFOSC,clear,,177.0,19.7,UL,GCN 31279,0.143,,"nan"
211221A,1090472,Assy-Turgen,NUTTelA-TAO,i',7457.89,257.0,18.4,UL,GCN 31285,0.143,0.24469569621478865,"0.00019856583545751596 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,U,3520.95,400.0,21.12,3-sigma,GCN 31317,0.143,0.61426934765625,"2.2789457552173245e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,White,3885.68,536.5,21.9,3-sigma,GCN 31317,0.143,0.5697476924492142,"1.0664127427402185e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,U,3520.95,573.5,21.02,3-sigma,GCN 31317,0.143,0.61426934765625,"2.498814330788866e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,B,4346.25,627.5,19.27,3-sigma,GCN 31317,0.143,0.51652315,"0.00011445519481254129 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVM2,2245.78,640.5,19.49,3-sigma,GCN 31317,0.143,1.111586915305422,"0.00016168175514317125 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVW2,2085.73,678.0,20.73,3-sigma,GCN 31317,0.143,1.232698738572409,"5.769069146719248e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,V,5411.43,702.5,18.59,3-sigma,GCN 31317,0.143,0.39332173675496684,"0.00019114147965063999 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVW1,2684.14,751.5,19.61,3-sigma,GCN 31317,0.143,0.8206091806599713,"0.00011073117826736571 (+0.0, -inf)"
211221A,1090472,KAO,UVOT,V,5445.79,7135.0,22.92,UL,GCN 31503,0.143,0.3923687941772151,"3.5397595863556337e-06 (+0.0, -inf)"
211221A,1090472,KAO,UVOT,R,6414.2,7135.0,22.15,UL,GCN 31503,0.143,0.31046818584070796,"6.671346890013457e-06 (+0.0, -inf)"
211221A,1090472,NOT,ALFOSC,r,6141.12,11520.0,23.5,UL,GCN 31276,0.143,0.32922748031059346,"1.9575697307170136e-06 (+0.0, -inf)"
211221A,1090472,NOT,ALFOSC,z,8922.78,12600.0,23.0,UL,GCN 31276,0.143,0.18061293027950304,"2.7056487851584166e-06 (+0.0, -inf)"
211221A,1090472,MASTER-OAFA ,ALFOSC,C,,13976.0,16.7,UL,GCN 31274,0.143,,"nan"
211221A,1090472,MeerLICHT,ALFOSC,u,3608.04,14543.0,19.97,3-sigma,GCN 31277,0.143,0.6034936533834586,"6.507642851998313e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,i,7457.89,14609.0,20.32,3-sigma,GCN 31277,0.143,0.24469569621478865,"3.387696749317594e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,z,8922.78,14864.0,19.7,3-sigma,GCN 31277,0.143,0.18061293027950304,"5.652901538281428e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,r,6141.12,14895.0,20.67,3-sigma,GCN 31277,0.143,0.32922748031059346,"2.6528777730065635e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,q,,15034.0,21.85,3-sigma,GCN 31277,0.143,,"nan"
211221A,1090472,MeerLICHT,ALFOSC,g,4671.78,15218.0,20.55,3-sigma,GCN 31277,0.143,0.4788637904761905,"3.400726965615296e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,White,3885.68,159.5,18.32,0.04,GCN 31204,0.05,0.19921247987734766,0.00020497988298031456 ± 7.55173796662618e-06
211207A,1088376,Swift,UVOT,U,3520.95,421.5,19.17,0.09,GCN 31204,0.05,0.21477949218750003,9.504691949486891e-05 ± 7.878730318700051e-06
211207A,1088376,Swift,UVOT,B,4346.25,648.0,18.95,0.31,GCN 31204,0.05,0.1806025,0.00011278913056557247 ± 3.220361476581374e-05
211207A,1088376,Swift,UVOT,UVM2,2245.78,962.0,20.39,3-sigma,GCN 31204,0.05,0.38866675360329445,"3.626543994424603e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,UVW1,2684.14,1073.5,20.21,3-sigma,GCN 31204,0.05,0.286926286944046,"3.897595486462965e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,V,5411.43,1111.0,18.49,3-sigma,GCN 31204,0.05,0.13752508278145695,"0.00016559082963288305 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,UVW2,2085.73,1173.0,20.73,3-sigma,GCN 31204,0.05,0.43101354495538785,"2.7569676292423115e-05 (+0.0, -inf)"
211207A,1088376,MASTER-Kislovodsk ,X-shooter,C,,4219.0,14.6,UL,GCN 31183,0.05,,"nan"
211207A,1088376,MASTER-Kislovodsk ,X-shooter,C,,4819.0,15.3,UL,GCN 31183,0.05,,"nan"
211207A,1088376,VLT,X-shooter,r,6141.12,36144.0,22.16,0.05,GCN 31188,0.05,0.11511450360510263,5.521690376704793e-06 ± 2.542832389905827e-07
211106A,Ground Analysis,Swift,UVOT,White,3885.68,48384,24.0,3-sigma,GCN 31079,0.09,0.35858246377922576,"1.2689930232936786e-06 (+0.0, -inf)"
211106A,Ground Analysis,MeerLICHT,GROND,q,,50385.8,21.9,5-sigma,GCN 31063,0.09,,"nan"
211106A,Ground Analysis,Swift,UVOT,White,3885.68,147744.0,23.2,3-sigma,GCN 31079,0.09,0.35858246377922576,"2.6513022136482544e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,g',4504.49,250348.8,24.8,3-sigma,GCN 31069,0.09,0.31312195224130707,"5.824719685772848e-07 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,r',6097.98,250348.8,25.0,3-sigma,GCN 31069,0.09,0.21000554076539107,"4.4058373999980577e-07 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,i',7604.74,250348.8,24.0,3-sigma,GCN 31069,0.09,0.14870398365122614,"1.0459425776434424e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,z',8929.33,250348.8,22.0,3-sigma,GCN 31069,0.09,0.11353319148936168,"6.389097644626532e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,J,12246.51,250348.8,21.7,3-sigma,GCN 31069,0.09,0.06640485717961914,"8.064699538463562e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,H,16330.2,250348.8,21.1,3-sigma,GCN 31069,0.09,0.04151066461168333,"1.3697159554135178e-05 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,K,21550.42,250348.8,19.8,3-sigma,GCN 31069,0.09,0.02804537102819581,"4.479653237890165e-05 (+0.0, -inf)"
211106A,Ground Analysis,VLT,FORS2,R,6425.7,252288.0,26.41,UL,GCN 31070,0.09,0.19523926991150442,"1.186101777866279e-07 (+0.0, -inf)"
211106A,Ground Analysis,Swift,UVOT,White,3885.68,272160,23.5,3-sigma,GCN 31079,0.09,0.35858246377922576,"2.0112184038988035e-06 (+0.0, -inf)"
211106A,Ground Analysis,Swift,UVOT,White,3885.68,414720,23.7,3-sigma,GCN 31079,0.09,0.35858246377922576,"1.6728586041379633e-06 (+0.0, -inf)"
211023B,1080859,Swift,UVOT,White,3885.68,172.5,20.24,0.11,GCN 30975,0.024,0.09562199034112687,3.178886668714658e-05 ± 3.2206491045079436e-06
211023B,1080859,Swift,UVOT,U,3520.95,522.0,20.52,0.2,GCN 30975,0.024,0.10309415625,2.4732266150635256e-05 ± 4.555851788353117e-06
211023B,1080859,Lijiang,BOOTES-4/MET,clear,,780.0,19.9,UL,GCN 30976,0.024,,"nan"
211023B,1080859,Swift,UVOT,UVW2,2085.73,827.0,21.63,3-sigma,GCN 30975,0.024,0.20688650157858618,"9.789958471322442e-06 (+0.0, -inf)"
211023B,1080859,TSHAO,Zeiss-1000,R,6414.2,973.728,18.9,3-sigma,GCN 30972,0.024,0.05210654867256638,"0.00010492255758556776 (+0.0, -inf)"
211023B,1080859,Swift,UVOT,B,4346.25,1122.5,19.77,3-sigma,GCN 30975,0.024,0.0866892,"4.8607348240393225e-05 (+0.0, -inf)"
211023B,1080859,Swift,UVOT,V,5411.43,1196.5,18.79,3-sigma,GCN 30975,0.024,0.06601203973509934,"0.00011760642941851634 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,g',4671.78,1241.0,17.6,UL,GCN 31016,0.024,0.08036874805194806,"0.00035659376731204923 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,r',6141.12,1241.0,18.7,UL,GCN 31016,0.024,0.05525496173044926,"0.000126510983977652 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,i',7457.89,1241.0,17.8,UL,GCN 31016,0.024,0.041067809154929566,"0.0002860575222445638 (+0.0, -inf)"
211023B,1080859,Swift,UVOT,UVW1,2684.14,1246.5,20.81,3-sigma,GCN 30975,0.024,0.13772461773314207,"1.9548619614575695e-05 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,g',4671.78,1324.0,18.5,UL,GCN 31016,0.024,0.08036874805194806,"0.00015565882510987545 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,r',6141.12,1324.0,19.5,UL,GCN 31016,0.024,0.05525496173044926,"6.0551963941051366e-05 (+0.0, -inf)"
211023B,1080859,Assy-Turgen,NUTTelA-TAO,i',7457.89,1324.0,18.7,UL,GCN 31016,0.024,0.041067809154929566,"0.00012486863739114573 (+0.0, -inf)"
211023B,1080859,TSHAO,Zeiss-1000,R,6414.2,1933.632,19.5,3-sigma,GCN 30972,0.024,0.05210654867256638,"6.037662996229333e-05 (+0.0, -inf)"
211023B,1080859,Sayan (Mondy),AZT-33IK,R,6414.2,2848.608,20.97,0.4,GCN 31003,0.024,0.05210654867256638,1.5590816799630632e-05 ± 5.743869176068901e-06
211023B,1080859,Sayan (Mondy),AZT-33IK,R,6414.2,13489.632,20.46,0.31,GCN 31003,0.024,0.05210654867256638,2.493841618450957e-05 ± 7.120430343317314e-06
211023B,1080859,OSN,1.5m,R,6398.71,22320.0,21.6,UL,GCN 30976,0.024,0.05216412212389381,"8.72754100110269e-06 (+0.0, -inf)"
211023B,1080859,CAHA,CAFOS,i',7457.89,26706.24,22.26,0.1,GCN 30992,0.024,0.041067809154929566,4.703849007918862e-06 ± 4.3324050421315225e-07
211023B,1080859,Harold Johnson,RATIR,r,6149.31,54144.0,22.4,3-sigma,GCN 30973,0.024,0.05511323793677205,"4.188625613240085e-06 (+0.0, -inf)"
211023B,1080859,Harold Johnson,RATIR,i,7531.29,54144.0,22.1,3-sigma,GCN 30973,0.024,0.04027882070844687,"5.446754202918715e-06 (+0.0, -inf)"
211023B,1080859,Harold Johnson,RATIR,Z,8788.01,54144.0,20.6,3-sigma,GCN 30973,0.024,0.03105347608695652,"2.150045443790667e-05 (+0.0, -inf)"
211023B,1080859,Harold Johnson,RATIR,Y,10172.74,54144.0,20.3,3-sigma,GCN 30973,0.024,0.02422204547153781,"2.8165344467100984e-05 (+0.0, -inf)"
211023B,1080859,Harold Johnson,RATIR,J,12433.64,54144.0,21.0,3-sigma,GCN 30973,0.024,0.017152350610583445,"1.4685447639520457e-05 (+0.0, -inf)"
211023B,1080859,Harold Johnson,RATIR,H,16112.7,54144.0,20.7,3-sigma,GCN 30973,0.024,0.011316755131193144,"1.9255418007240503e-05 (+0.0, -inf)"
211023B,1080859,LDT,LMI,r,6141.12,139104.0,23.0,0,GCN 31000,0.024,0.05525496173044926,2.410617103602933e-06 ± 0.0
211023B,1080859,Gemini North,GMOS,i,7713.83,150768.0,23.1,0.1,GCN 31002,0.024,0.03875140020942409,2.1653435418307196e-06 ± 1.9943551042521378e-07
211023B,1080859,Akeno,MITSuME,g',4712.55,250560.0,19.5,5-sigma,GCN 31031,0.024,0.07937332467532467,"6.191210622426818e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Rc,6479.38,250560.0,19.6,5-sigma,GCN 31031,0.024,0.051386129870129874,"5.502761636575473e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Ic,7845.53,250560.0,18.7,5-sigma,GCN 31031,0.024,0.037713111111111114,"0.00012448341482390067 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,g',4712.55,336960.0,19.5,5-sigma,GCN 31031,0.024,0.07937332467532467,"6.191210622426818e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Rc,6479.38,336960.0,20.1,5-sigma,GCN 31031,0.024,0.051386129870129874,"3.4720078695211405e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Ic,7845.53,336960.0,19.4,5-sigma,GCN 31031,0.024,0.037713111111111114,"6.532982477695029e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,g',4712.55,423360.0,19.8,5-sigma,GCN 31031,0.024,0.07937332467532467,"4.6965135404554575e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Rc,6479.38,423360.0,20.1,5-sigma,GCN 31031,0.024,0.051386129870129874,"3.4720078695211405e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Ic,7845.53,423360.0,19.3,5-sigma,GCN 31031,0.024,0.037713111111111114,"7.163272842578067e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,g',4712.55,509760.0,20.3,5-sigma,GCN 31031,0.024,0.07937332467532467,"2.963299711801051e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Rc,6479.38,509760.0,20.5,5-sigma,GCN 31031,0.024,0.051386129870129874,"2.4020425754089983e-05 (+0.0, -inf)"
211023B,1080859,Akeno,MITSuME,Ic,7845.53,509760.0,19.9,5-sigma,GCN 31031,0.024,0.037713111111111114,"4.122033275662088e-05 (+0.0, -inf)"
210919A,1073893,MASTER-SAAO,Sinistro,P\,,52.0,16.1,UL,GCN 30847,0.141,,"nan"
210919A,1073893,Swift,UVOT,White,3885.68,174.5,21.6,3-sigma,GCN 30857,0.141,0.5617791932541203,"1.3955259806815284e-05 (+0.0, -inf)"
210919A,1073893,BOOTES-2/TELMA,Sinistro,clear,,240.0,17.5,UL,GCN 30848,0.141,,"nan"
210919A,1073893,Swift,UVOT,U,3520.95,436.5,20.92,3-sigma,GCN 30857,0.141,0.60567816796875,"2.7183008197935163e-05 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,White,3885.68,646.5,22.2,3-sigma,GCN 30857,0.141,0.5617791932541203,"8.030413828757562e-06 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,U,3520.95,815.0,20.82,3-sigma,GCN 30857,0.141,0.60567816796875,"2.9805575794617298e-05 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,UVW2,2085.73,831.0,21.13,3-sigma,GCN 30857,0.141,1.2154581967741935,"3.928344146866589e-05 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,V,5411.43,943.5,18.69,3-sigma,GCN 30857,0.141,0.38782073344370854,"0.00017344210760997431 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,B,4346.25,955.0,19.17,3-sigma,GCN 30857,0.141,0.50929905,"0.00012466538107525516 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,UVW1,2684.14,993.0,21.21,3-sigma,GCN 30857,0.141,0.8091321291822096,"2.510031088666954e-05 (+0.0, -inf)"
210919A,1073893,Swift,UVOT,UVM2,2245.78,1258.0,20.69,3-sigma,GCN 30857,0.141,1.0960402451612903,"5.2776714052039974e-05 (+0.0, -inf)"
210919A,1073893,AbAO,AS-32,R,6414.2,2759.616,22.1,3-sigma,GCN 30851,0.141,0.3061259734513274,"6.957875256705546e-06 (+0.0, -inf)"
210919A,1073893,LCO,Sinistro,R,6312.69,5202,20.5,UL,GCN 30849,0.141,0.31183214591715974,"3.0532270916928734e-05 (+0.0, -inf)"
210919A,1073893,LCO,Sinistro,I,8592.35,5202,18.7,UL,GCN 30849,0.141,0.18955363281532342,"0.00014316857490841568 (+0.0, -inf)"
210919A,1073893,NOT,ALFOSC,r,6141.12,11340.0,23.4,UL,GCN 30852,0.141,0.3246229001663894,"2.137348835857634e-06 (+0.0, -inf)"
210919A,1073893,NOT,ALFOSC,i,7457.89,12492,23.9,UL,GCN 30852,0.141,0.24127337878521118,"1.2489228183601516e-06 (+0.0, -inf)"
210919A,1073893,OSN,1.5m,Rc,6398.71,12911.616,24.47,0.53,GCN 30884,0.141,0.3064642174778761,7.845343002212268e-07 ± 3.829688807419655e-07
210919A,1073893,CAHA,CAFOS,i',7457.89,13176,24.14,0.3,GCN 30883,0.141,0.24127337878521118,1.0012340263436443e-06 ± 2.76651185238874e-07
210919A,1073893,LOAO,1m,R,6414.2,36809.0,21.162,5-sigma,GCN 30856,0.141,0.3061259734513274,"1.6507322583872615e-05 (+0.0, -inf)"
210919A,1073893,Keck II,NIRC2,Kp,21084.52,47880.0,21.5,UL,GCN 308558,0.141,0.04575657703652082,"9.51324934167829e-06 (+0.0, -inf)"
210919A,1073893,Siding Spring,LSGT,r,6141.12,56660.0,19.605,5-sigma,GCN 30856,0.141,0.3246229001663894,"7.044909346098574e-05 (+0.0, -inf)"
210919A,1073893,Siding Spring,LSGT,i,7457.89,56984.0,18.553,5-sigma,GCN 30856,0.141,0.24127337878521118,"0.0001719236411404551 (+0.0, -inf)"
210919A,1073893,Siding Spring,LSGT,z,8922.78,57320.0,18.119,5-sigma,GCN 30856,0.141,0.17808687531055892,"0.0002419139980738456 (+0.0, -inf)"
210919A,1073893,Akeno,MITSuME,g',4712.55,62280.0,19.2,5-sigma,GCN 30855,0.141,0.4663182824675324,"0.00011656107977225957 (+0.0, -inf)"
210919A,1073893,Akeno,MITSuME,Rc,6479.38,62280.0,20.5,5-sigma,GCN 30855,0.141,0.301893512987013,"3.0254059320819472e-05 (+0.0, -inf)"
210919A,1073893,Akeno,MITSuME,Ic,7845.53,62280.0,19.6,5-sigma,GCN 30855,0.141,0.22156452777777774,"6.436533886412113e-05 (+0.0, -inf)"
210919A,1073893,Maidanak,AZT-22,R,6414.2,82036.8,24.2,3-sigma,GCN 31567,0.141,0.3061259734513274,"1.005718961593123e-06 (+0.0, -inf)"
210919A,1073893,OSN,1.5m,Rc,6398.71,98192.736,23.6,UL,GCN 30884,0.141,0.3064642174778761,"1.7482838104211585e-06 (+0.0, -inf)"
210919A,1073893,Maidanak,AZT-22,R,6414.2,169042.464,22.9,3-sigma,GCN 31567,0.141,0.3061259734513274,"3.330248476486388e-06 (+0.0, -inf)"
210919A,1073893,CTIO/VMBT,DECam,i,7774.19,200762.0,24.1,3-sigma,GCN 30868,0.141,0.2246691388888889,"1.0230430384857046e-06 (+0.0, -inf)"
210919A,1073893,CTIO/VMBT,DECam,z,9157.9,200762.0,23.6,3-sigma,GCN 30868,0.141,0.17007665217391307,"1.5419024900231741e-06 (+0.0, -inf)"
210919A,1073893,iTelescope,T11,R,6414.2,209816.5,17.8,5-sigma,GCN 30888,0.141,0.3061259734513274,"0.000365154484220637 (+0.0, -inf)"
210919A,1073893,LDT,LMI,r,6141.12,212544.0,23.6,3-sigma,GCN 30860,0.141,0.3246229001663894,"1.7777693278748418e-06 (+0.0, -inf)"
210919A,1073893,iTelescope,T11,R,6414.2,296169.2,19.1,5-sigma,GCN 30888,0.141,0.3061259734513274,"0.00011027489128346226 (+0.0, -inf)"
210919A,1073893,VLT,FORS2,Ic,6980.18,1145664.0,25.8,UL,GCN 30983,0.141,0.2684613420689655,"2.225413845702784e-07 (+0.0, -inf)"
210726A,1061687,CAHA,CAFOS,i,7457.89,3852.0,21.9,UL,GCN 30525,0.02,0.03422317429577464,"6.512016895001449e-06 (+0.0, -inf)"
210726A,1061687,CAHA,CAFOS,r',6155.36,7041.6,24.2,UL,GCN 30543,0.02,0.04584045479755964,"7.91338746725532e-07 (+0.0, -inf)"
210726A,1061687,GTC,OSIRIS,r',6350.01,7650.0,24.4,UL,GCN 30545,0.02,0.043851685207100595,"6.570023500396369e-07 (+0.0, -inf)"
210726A,1061687,Harold Johnson,RATIR,r,6149.31,32202,23.0,3-sigma,GCN 30534,0.02,0.04592769828064338,"2.3899968482053165e-06 (+0.0, -inf)"
210726A,1061687,Harold Johnson,RATIR,i,7531.29,32202,22.7,3-sigma,GCN 30534,0.02,0.03356568392370572,"3.1149603467036313e-06 (+0.0, -inf)"
210725B,1061554,Swift,UVOT,U,3520.95,216.5,21.52,3-sigma,GCN 30526,0.023,0.09879856640625,"9.807214530100354e-06 (+0.0, -inf)"
210725B,1061554,Swift,UVOT,U,3520.95,216.5,21.52,3-sigma,GCN 30526,0.023,0.09879856640625,"9.807214530100354e-06 (+0.0, -inf)"
210725B,1061554,Swift,UVOT,B,4346.25,393.0,19.87,3-sigma,GCN 30526,0.023,0.08307715,"4.4183194114448874e-05 (+0.0, -inf)"
210725B,1061554,Swift,UVOT,UVW2,2085.73,3813.5,21.13,3-sigma,GCN 30526,0.023,0.1982662306794784,"1.53933357195676e-05 (+0.0, -inf)"
210725B,1061554,MASTER-Tavrida,UVOT,C,,22747.0,16.5,UL,GCN 30512,0.023,,"nan"
210708A,1059460,MASTER-OAFA ,UVOT,C,,229.0,17.8,UL,GCN 30412,0.16,,"nan"
210708A,1059460,Swift,UVOT,U,3520.95,245.5,20.42,3-sigma,GCN 30425,0.16,0.687294375,"4.644553811085705e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,UVW2,2085.73,2302.0,21.23,3-sigma,GCN 30425,0.16,1.3792433438572411,"4.166041448203129e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,V,5411.43,2416.5,19.59,3-sigma,GCN 30425,0.16,0.4400802649006622,"7.944349734456015e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,UVM2,2245.78,2531.5,21.09,3-sigma,GCN 30425,0.16,1.2437336115305422,"4.183306578506693e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,U,3520.95,2571.0,20.42,3-sigma,GCN 30425,0.16,0.687294375,"4.644553811085705e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,UVW1,2684.14,2646.0,20.41,3-sigma,GCN 30425,0.16,0.9181641182209471,"5.798182705377129e-05 (+0.0, -inf)"
210708A,1059460,Swift,UVOT,B,4346.25,2727.0,19.17,3-sigma,GCN 30425,0.16,0.577928,"0.00013279980854337105 (+0.0, -inf)"
210704A,Fermi,OAN/SPM,DDOTI,w,,32400.0,19.7,5-sigma,GCN 30383,0.007,,"nan"
210704A,Fermi,Swift,UVOT,V,5411.43,62763.0,21.09,3-sigma,GCN 30389,0.007,0.01925351158940397,"1.3543398382915035e-05 (+0.0, -inf)"
210704A,Fermi,Assy-Turgen,AZT-20,r',6141.12,81567.648,22.25,0.13,GCN 30384,0.007,0.016116030504714367,4.6395158325985135e-06 ± 5.555097597322623e-07
210704A,Fermi,TNG,DOLoRes,r,6128.29,93312.0,22.13,0.13,GCN 30385,0.007,0.016180785357737107,5.182013774388198e-06 ± 6.204654387669959e-07
210704A,Fermi,OAJ,T80,z',8922.78,93398.4,21.5,UL,GCN 30401,0.007,0.008841192391304344,"9.195232734788936e-06 (+0.0, -inf)"
210704A,Fermi,Calar Alto,2.2m,i',7457.89,94423.104,21.84,0.13,GCN 30391,0.007,0.011978111003521124,6.742446254981131e-06 ± 8.073029243257204e-07
210704A,Fermi,OAJ,T80,i',7457.89,94435.2,22.08,0.23,GCN 30401,0.007,0.011978111003521124,5.405271256188782e-06 ± 1.145040925664233e-06
210704A,Fermi,OAJ,T80,g',4671.78,95385.6,22.42,0.11,GCN 30401,0.007,0.02344088484848485,3.9939498086035095e-06 ± 4.04642008824102e-07
210704A,Fermi,GTC,OSIRIS,r,6350.01,96300.0,22.4,0.07,GCN 30392,0.007,0.015348089822485207,4.037992284979492e-06 ± 2.6033898354852486e-07
