GRB,TriggerNumber,BAT T90[sec],XRT dt [sec],XRT InitialTemporalIndex,XRTSpectral Index(Gamma),UVOT dt [sec],UVOT Magnitude,Other UVOT Filters,Other Observatory Detections,Redshift,UVOT Vmag,UVOT Vmag lim
070729,286373,0.9,87.09,,1.5287600000000001,91,V>20.45,"{'B': '20.97', 'U': '21.12', 'UVM2': '21.34', 'UVW1': '21.53', 'UVW2': '21.46', 'idx': 1356}",Konus-A,,20.45,brightest
070724A,285948,0.4,66.76,-2.566,1.64009,58,V>19.5,"{'B': '20.3', 'U': '20.0', 'UVM2': '20.4', 'UVW1': '20.4', 'UVW2': '20.7', 'idx': 1358}",,0.4570.457,19.5,brightest
070714A,284850,2.0,,-0.6179,2.19672,44,V>19.69,"{'B': '19.55', 'U': '19.71', 'UVM2': '18.96', 'UVW1': '19.03', 'UVW2': '18.49', 'idx': 1362}",,,19.69,brightest
070429B,277582,0.470,256.26,-0.9259,3.00655,230,V=19.3 (2.5 σ),"{'B': '20.5 (2.2 σ)', 'U': '21.8', 'UVM2': '22.0', 'UVW1': '22.4', 'UVW2': '22.4', 'idx': 1382}",,0.904,19.3,equal
070406,274153,1.200,74160,,,74160,V>21.6,"{'B': '23.0', 'U': '22.4', 'UVM2': '23.5', 'UVW1': '24.3', 'UVW2': '23.9', 'idx': 1390}",,,21.6,brightest
070209,259803,0.090,78,,,83,,{'idx': 1403},,,,equal
061217,251634,0.210,64,0.35,9.998,4917,V>20.3,"{'B': '20.2', 'U': '19.8', 'UVM2': '20.4', 'UVW1': '19.7', 'UVW2': '20.6', 'idx': 1414}",,0.827,20.3,brightest
061201,241840,0.760,81.32,-0.5197,1.65934,86,V>20.8,"{'B': '20.9', 'U': '20.7 (2.6 σ)', 'UVM2 ': '20.5 (2.7 σ)', 'UVW1': '20.7 (2.9 σ)', 'UVW2': '19.8 (2.5 σ)', 'idx': 1417}","VLT, Konus-Wind, SOAR",0.111,20.8,brightest
060801,222154,0.490,63.01,-0.8536,1.67701,67,V>20.1,"{'B': '20.6', 'U': '20.3', 'UVM2': '20.2', 'UVW1': '20.3', 'UVW2': '20.4', 'idx': 1452}","Hanle (2.0m), CAHA (3.5m), VLT",,20.1,brightest
060502B,208275,0.131,70.27,,3.0657900000000002,57,V>20.29,"{'B': '20.62', 'U': '21.04', 'UVM2': '21.31', 'UVW1': '21.29', 'UVW2': '21.29', 'idx': 1476}","MDM (1.3m), Gemini",0.287,20.29,brightest
060313,201487,0.740,78.69,-0.8686,1.9637,79,V=20.03 (2.9 σ),"{'B': '20.69 (2.7 σ)', 'U': '19.95', 'UVM2': '18.89', 'UVW1': '18.91', 'UVW2': '20.98 (2.2 σ)', 'idx': 1490}","VLT, SMARTS, La Silla (Danish 1.5m), Gemini, PROMPT, Konus-Wind",,20.03,equal
051221A,173780,1.400,88.00,-1.501,2.0589,73,V>19.2,"{'B': '20.8', 'U': '20.2', 'UVM2': '20.7', 'UVW1': '20.2', 'UVW2': '20.7', 'idx': 1519}","PAIRITEL, Gemini, RAPTOR, Chandra, MDM (1.3m), Suzaku (WAM), Konus-Wind, VLA @ 8.5 GHz, Maidanak",0.547,19.2,brightest
051210,171931,1.300,79.24,-1.723,3.05422,83,V>20.6,"{'B': '21.7', 'U': '21.2', 'UVM2': '22.1', 'UVW1': '21.7', 'UVW2': '22.3', 'idx': 1522}",Magellan,,20.6,brightest
051105A,162580,0.093,68,,,66,V>20.0,"{'B': '20.6', 'U': '20.5', 'UVM2': '20.4', 'UVW1': '20.0', 'UVW2': '20.4', 'idx': 1530}",,,20.0,brightest
050925,156838,0.070,100,,,90,V>20.2,"{'B': '21.8', 'U': '21.2', 'UVM2': '21.8', 'UVW1': '21.4', 'UVW2': '21.8', 'idx': 1541}",,,20.2,brightest
050906,153866,0.258,79,,,,,{'idx': 1549},,,,equal
050813,150139,0.450,,,2.30189,102,V>19.1,"{'B': '20.2', 'U': '19.9', 'UVM2': '19.3', 'UVW1': '19.7', 'UVW2': '20.6', 'idx': 1560}",,1.8,19.1,brightest
050509B,118749,0.073,,-0.4357,1.8848599999999998,50,V>21.1,"{'B': '21.8', 'U': '21.8', 'UVM2': '22.2', 'UVW1': '22.3', 'UVW2': '22.7', 'idx': 1583}",Keck,0.225,21.1,brightest
050202,104298,0.270,,,,,,{'idx': 1609},,,,equal
