ID Number,dt_x [hr],dt_o [hr],dt [hr],Beta_x,sigma_x_Up,sigma_x_Low,Beta_ox,sigma_ox_Up,sigma_ox_Low
ID-060121,4.72,5.60,0.88,-1.07,0.16,0.16,-0.19,0.07,0.08
ID-060121,5.00,5.60,0.60,-1.07,0.16,0.16,-0.19,0.07,0.08
ID-060121,5.00,5.60,0.60,-1.07,0.16,0.16,-0.17,0.07,0.08
ID-060121,5.00,5.60,0.60,-1.07,0.16,0.16,-0.28,0.06,0.07
ID-060121,6.11,5.60,0.51,-1.07,0.16,0.16,-0.25,0.07,0.07
ID-060121,6.11,6.50,0.39,-1.07,0.16,0.16,-0.24,0.04,0.05
ID-060121,6.11,7.30,1.19,-1.07,0.16,0.16,-0.26,0.06,0.07
ID-060121,6.11,7.30,1.19,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,24.72,30.00,5.28,-1.07,0.16,0.16,-0.47,0.03,0.03
ID-060313,1.39,1.30,0.09,-0.96,0.09,0.09,-0.35,0.11,0.12
ID-060313,1.22,1.50,0.28,-0.96,0.09,0.09,-0.26,0.13,0.14
ID-060313,1.25,1.50,0.25,-0.96,0.09,0.09,-0.33,0.13,0.14
ID-060313,1.31,1.50,0.19,-0.96,0.09,0.09,-0.33,0.13,0.14
ID-060313,1.33,1.50,0.17,-0.96,0.09,0.09,-0.35,0.13,0.14
ID-060313,1.36,1.50,0.14,-0.96,0.09,0.09,-0.35,0.14,0.15
ID-060313,1.39,1.50,0.11,-0.96,0.09,0.09,-0.19,0.13,0.15
ID-060313,1.58,1.50,0.08,-0.96,0.09,0.09,-0.30,0.13,0.15
ID-060313,1.67,1.50,0.17,-0.96,0.09,0.09,-0.33,0.13,0.15
ID-070707,11.39,11.00,0.39,0.00,0.00,0.00,-0.42,0.03,0.04
ID-070707,113.89,108.00,5.89,0.00,0.00,0.00,-0.12,0.04,0.03
ID-080503,108.33,128.60,20.27,-1.53,0.26,0.12,-0.27,0.06,0.10
ID-111020A,19.17,17.80,1.37,-1.04,0.16,0.16,-0.47,0.01,0.01
ID-111020A,19.17,18.50,0.67,-1.04,0.16,0.16,-0.42,0.01,0.01
ID-120804A,4.72,5.50,0.78,-1.10,0.10,0.10,0.03,0.08,0.08
ID-120804A,6.39,5.50,0.89,-1.10,0.10,0.10,-0.07,0.07,0.07
ID-130912A,0.27,0.27,0.00,-0.57,0.13,0.13,-0.10,0.07,0.07
ID-130912A,0.31,0.27,0.04,-0.57,0.13,0.13,-0.22,0.07,0.07
ID-130912A,0.31,0.38,0.07,-0.57,0.13,0.13,-0.25,0.07,0.07
ID-130912A,0.33,0.38,0.05,-0.57,0.13,0.13,-0.37,0.07,0.07
ID-130912A,0.36,0.38,0.02,-0.57,0.13,0.13,-0.37,0.07,0.07
ID-130912A,0.39,0.38,0.01,-0.57,0.13,0.13,-0.36,0.07,0.07
ID-130912A,0.42,0.38,0.04,-0.57,0.13,0.13,-0.34,0.06,0.06
ID-150120A,2.31,2.00,0.31,-1.00,0.31,0.31,-0.39,0.00,0.00
