GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma,Beta_X Lower Sigma,Beta_OX,Upper Bound of Sigma_OX,Lower Bound of Sigma_OX,
ID-050724A,38.89,34.80,4.09,-0.81,0.15,0.15,-0.73,0.06,0.08
ID-050724A,41.67,34.80,6.87,-0.81,0.15,0.15,-0.72,0.07,0.08
ID-050724A,38.89,34.90,3.99,-0.81,0.15,0.15,-0.72,0.04,0.05
ID-050724A,41.67,34.90,6.77,-0.81,0.15,0.15,-0.71,0.04,0.06
ID-050724A,38.89,35.00,3.89,-0.81,0.15,0.15,-0.78,0.06,0.08
ID-050724A,41.67,35.00,6.67,-0.81,0.15,0.15,-0.77,0.06,0.08
ID-050724A,38.89,36.70,2.19,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,41.67,36.70,4.97,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,66.67,83.10,16.43,-0.81,0.15,0.15,-0.69,0.10,0.08
ID-050724A,69.44,83.10,13.66,-0.81,0.15,0.15,-0.64,0.10,0.09
ID-051221A,3.33,3.10,0.23,-1.00,0.20,0.20,-0.68,0.03,0.03
ID-051221A,3.33,3.40,0.07,-1.00,0.20,0.20,-0.66,0.03,0.03
ID-051221A,27.78,26.90,0.88,-1.00,0.20,0.20,-0.80,0.04,0.04
ID-051221A,27.78,27.20,0.58,-1.00,0.20,0.20,-0.76,0.06,0.06
ID-051221A,55.56,51.00,4.56,-1.00,0.20,0.20,-0.65,0.10,0.08
ID-051221A,41.67,51.00,9.33,-1.00,0.20,0.20,-0.59,0.09,0.07
ID-051221A,44.44,51.00,6.56,-1.00,0.20,0.20,-0.60,0.09,0.07
ID-051221A,55.56,51.30,4.26,-1.00,0.20,0.20,-0.67,0.10,0.08
ID-051221A,41.67,51.30,9.63,-1.00,0.20,0.20,-0.62,0.10,0.07
ID-051221A,44.44,51.30,6.86,-1.00,0.20,0.20,-0.63,0.10,0.07
ID-051221A,55.56,51.60,3.96,-1.00,0.20,0.20,-0.69,0.04,0.04
