GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma,Beta_X Lower Sigma,Beta_OX,Upper Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-060313,1.31,1.30,0.01,-0.96,0.09,0.09,-0.47,0.11,0.12
ID-060313,1.33,1.30,0.03,-0.96,0.09,0.09,-0.48,0.11,0.12
ID-060313,1.36,1.30,0.06,-0.96,0.09,0.09,-0.48,0.11,0.13
ID-060313,1.39,1.30,0.09,-0.96,0.09,0.09,-0.35,0.11,0.12
ID-060313,1.42,1.30,0.12,-0.96,0.09,0.09,-0.52,0.11,0.12
ID-060313,1.36,1.50,0.14,-0.96,0.09,0.09,-0.35,0.14,0.15
ID-060313,1.39,1.50,0.11,-0.96,0.09,0.09,-0.19,0.13,0.15
ID-060313,1.42,1.50,0.08,-0.96,0.09,0.09,-0.39,0.13,0.14
ID-060313,1.44,1.50,0.06,-0.96,0.09,0.09,-0.40,0.13,0.14
ID-060313,1.50,1.50,0.00,-0.96,0.09,0.09,-0.46,0.13,0.14
ID-060313,1.53,1.50,0.03,-0.96,0.09,0.09,-0.42,0.13,0.14
ID-060313,1.58,1.50,0.08,-0.96,0.09,0.09,-0.30,0.13,0.15
ID-060313,1.61,1.50,0.11,-0.96,0.09,0.09,-0.47,0.13,0.15
ID-060313,1.58,1.70,0.12,-0.96,0.09,0.09,-0.52,0.11,0.12
ID-060313,1.61,1.70,0.09,-0.96,0.09,0.09,-0.66,0.11,0.12
ID-060313,1.67,1.70,0.03,-0.96,0.09,0.09,-0.55,0.11,0.12
ID-060313,1.69,1.70,0.01,-0.96,0.09,0.09,-0.60,0.11,0.12
ID-060313,1.75,1.70,0.05,-0.96,0.09,0.09,-0.58,0.11,0.12
ID-060313,1.81,1.70,0.11,-0.96,0.09,0.09,-0.58,0.10,0.10
ID-060313,2.78,2.90,0.12,-0.96,0.09,0.09,-0.48,0.19,0.16
ID-060313,2.78,2.90,0.12,-0.96,0.09,0.09,-0.46,0.19,0.17
ID-060313,3.06,2.90,0.16,-0.96,0.09,0.09,-0.38,0.19,0.17
ID-060313,3.06,2.90,0.16,-0.96,0.09,0.09,-0.44,0.19,0.16
ID-060313,3.06,2.90,0.16,-0.96,0.09,0.09,-0.46,0.19,0.16
ID-060313,3.06,2.90,0.16,-0.96,0.09,0.09,-0.50,0.19,0.17
ID-060313,3.06,3.10,0.04,-0.96,0.09,0.09,-0.55,0.10,0.12
ID-060313,3.06,3.10,0.04,-0.96,0.09,0.09,-0.61,0.10,0.12
ID-060313,3.06,3.10,0.04,-0.96,0.09,0.09,-0.62,0.10,0.12
ID-060313,3.06,3.10,0.04,-0.96,0.09,0.09,-0.67,0.10,0.12
ID-060313,3.33,3.10,0.23,-0.96,0.09,0.09,-0.66,0.10,0.12
ID-060313,3.33,3.10,0.23,-0.96,0.09,0.09,-0.66,0.09,0.11
ID-060313,3.06,3.30,0.24,-0.96,0.09,0.09,-0.43,0.11,0.12
ID-060313,3.06,3.30,0.24,-0.96,0.09,0.09,-0.49,0.10,0.12
ID-060313,3.06,3.30,0.24,-0.96,0.09,0.09,-0.50,0.10,0.12
ID-060313,3.06,3.30,0.24,-0.96,0.09,0.09,-0.54,0.11,0.12
ID-060313,3.33,3.30,0.03,-0.96,0.09,0.09,-0.54,0.10,0.12
ID-060313,3.33,3.30,0.03,-0.96,0.09,0.09,-0.53,0.10,0.11
ID-060313,4.44,4.50,0.06,-0.96,0.09,0.09,-0.71,0.16,0.14
ID-060313,4.44,4.50,0.06,-0.96,0.09,0.09,-0.64,0.16,0.15
ID-060313,4.72,4.50,0.22,-0.96,0.09,0.09,-0.65,0.16,0.15
ID-060313,6.11,6.10,0.01,-0.96,0.09,0.09,-0.66,0.15,0.15
ID-060313,6.39,6.10,0.29,-0.96,0.09,0.09,-0.54,0.14,0.15
ID-060313,6.39,6.10,0.29,-0.96,0.09,0.09,-0.63,0.14,0.14
ID-060313,6.11,6.30,0.19,-0.96,0.09,0.09,-0.64,0.18,0.16
ID-060313,6.39,6.30,0.09,-0.96,0.09,0.09,-0.52,0.17,0.16
ID-060313,6.39,6.30,0.09,-0.96,0.09,0.09,-0.60,0.17,0.15
ID-060313,6.11,6.60,0.49,-0.96,0.09,0.09,-0.78,0.11,0.13
ID-060313,6.39,6.60,0.21,-0.96,0.09,0.09,-0.67,0.10,0.12
ID-060313,6.39,6.60,0.21,-0.96,0.09,0.09,-0.75,0.10,0.12
ID-060313,9.44,9.60,0.16,-0.96,0.09,0.09,-0.73,0.18,0.16
ID-060313,9.44,9.80,0.36,-0.96,0.09,0.09,-0.71,0.20,0.16
ID-060313,24.17,24.20,0.03,-0.96,0.09,0.09,-0.91,0.09,0.12
ID-070429B,4.44,4.80,0.36,-2.00,0.63,0.63,-0.00,0.00,0.00
ID-070707,11.39,11.00,0.39,0.00,0.00,0.00,-0.42,0.03,0.04
ID-070707,113.89,108.00,5.89,0.00,0.00,0.00,-0.12,0.04,0.03
ID-070724A,3.06,2.80,0.26,-0.60,0.25,0.25,-0.79,0.08,0.12
ID-070724A,3.06,3.10,0.04,-0.60,0.25,0.25,-0.70,0.08,0.12
ID-090305A,1.33,1.30,0.03,0.00,0.00,0.00,-1.03,0.00,0.00
ID-090305A,1.33,1.30,0.03,0.00,0.00,0.00,-1.12,0.02,0.01
ID-090305A,1.33,1.30,0.03,0.00,0.00,0.00,-1.07,0.02,0.02
ID-090305A,1.33,1.30,0.03,0.00,0.00,0.00,-1.06,0.02,0.02
ID-090305A,1.33,1.40,0.07,0.00,0.00,0.00,-1.09,0.01,0.01
ID-090426A,0.28,0.29,0.01,-1.04,0.09,0.09,-0.72,0.04,0.05
ID-090426A,0.31,0.29,0.02,-1.04,0.09,0.09,-0.75,0.05,0.05
ID-090426A,0.31,0.31,0.00,-1.04,0.09,0.09,-0.74,0.05,0.06
ID-090426A,0.33,0.31,0.02,-1.04,0.09,0.09,-0.71,0.05,0.06
ID-090426A,0.31,0.33,0.02,-1.04,0.09,0.09,-0.73,0.05,0.06
ID-090426A,0.33,0.33,0.00,-1.04,0.09,0.09,-0.70,0.05,0.06
ID-090426A,0.33,0.36,0.03,-1.04,0.09,0.09,-0.68,0.05,0.06
ID-090426A,0.39,0.36,0.03,-1.04,0.09,0.09,-0.75,0.05,0.06
ID-090426A,0.39,0.38,0.01,-1.04,0.09,0.09,-0.74,0.05,0.06
ID-090426A,0.42,0.38,0.04,-1.04,0.09,0.09,-0.67,0.05,0.06
ID-090426A,0.39,0.40,0.01,-1.04,0.09,0.09,-0.73,0.05,0.06
ID-090426A,0.42,0.40,0.02,-1.04,0.09,0.09,-0.66,0.05,0.06
ID-090426A,0.39,0.42,0.03,-1.04,0.09,0.09,-0.74,0.05,0.06
ID-090426A,0.42,0.42,0.00,-1.04,0.09,0.09,-0.67,0.05,0.06
ID-090426A,0.44,0.42,0.02,-1.04,0.09,0.09,-0.68,0.05,0.06
ID-090426A,0.53,0.53,0.00,-1.04,0.09,0.09,-0.74,0.05,0.06
ID-090426A,1.56,1.60,0.04,-1.04,0.09,0.09,-0.73,0.06,0.07
ID-090426A,1.67,1.60,0.07,-1.04,0.09,0.09,-0.73,0.23,0.00
ID-090426A,1.92,2.00,0.08,-1.04,0.09,0.09,-0.76,0.06,0.07
ID-090426A,2.11,2.00,0.11,-1.04,0.09,0.09,-0.77,0.06,0.06
ID-090426A,2.11,2.30,0.19,-1.04,0.09,0.09,-0.74,0.06,0.06
ID-100117A,8.61,8.30,0.31,-1.60,0.30,0.30,-0.75,0.08,0.09
ID-111020A,19.17,17.80,1.37,-1.04,0.16,0.16,-0.53,0.01,0.01
ID-111020A,19.17,17.80,1.37,-1.04,0.16,0.16,-0.47,0.01,0.01
ID-111020A,19.17,18.50,0.67,-1.04,0.16,0.16,-0.42,0.01,0.01
ID-130603B,5.83,5.90,0.07,-1.20,0.10,0.10,-0.67,0.04,0.05
ID-130603B,6.11,5.90,0.21,-1.20,0.10,0.10,-0.67,0.04,0.05
ID-130603B,5.83,6.10,0.27,-1.20,0.10,0.10,-0.73,0.04,0.05
ID-130603B,6.11,6.10,0.01,-1.20,0.10,0.10,-0.73,0.04,0.05
ID-130603B,6.11,6.60,0.49,-1.20,0.10,0.10,-0.69,0.04,0.05
ID-130603B,6.11,6.70,0.59,-1.20,0.10,0.10,-0.62,0.05,0.06
ID-130603B,7.78,7.10,0.68,-1.20,0.10,0.10,-0.69,0.06,0.08
ID-130603B,7.78,7.90,0.12,-1.20,0.10,0.10,-0.71,0.06,0.09
ID-130603B,7.78,8.20,0.42,-1.20,0.10,0.10,-0.75,0.05,0.08
ID-130603B,13.33,14.40,1.07,-1.20,0.10,0.10,-0.86,0.04,0.05
ID-130603B,13.33,14.50,1.17,-1.20,0.10,0.10,-0.87,0.04,0.05
ID-130603B,13.33,14.60,1.27,-1.20,0.10,0.10,-0.83,0.04,0.05
ID-130603B,13.33,14.70,1.37,-1.20,0.10,0.10,-0.88,0.06,0.06
ID-130603B,13.33,14.80,1.47,-1.20,0.10,0.10,-0.79,0.04,0.05
ID-130603B,41.67,38.20,3.47,-1.20,0.10,0.10,-0.65,0.20,0.00
ID-130603B,41.67,38.40,3.27,-1.20,0.10,0.10,-0.64,0.23,0.00
ID-130603B,41.67,38.60,3.07,-1.20,0.10,0.10,-0.74,0.18,0.00
ID-130603B,41.67,38.60,3.07,-1.20,0.10,0.10,-0.98,0.17,0.00
ID-130912A,0.27,0.27,0.00,-0.57,0.13,0.13,-0.10,0.07,0.07
ID-130912A,0.36,0.38,0.02,-0.57,0.13,0.13,-0.37,0.07,0.07
ID-130912A,0.39,0.38,0.01,-0.57,0.13,0.13,-0.36,0.07,0.07
ID-130912A,0.42,0.38,0.04,-0.57,0.13,0.13,-0.34,0.06,0.06
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.55,0.05,0.06
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.60,0.05,0.05
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.63,0.05,0.05
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.62,0.05,0.05
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.77,0.05,0.06
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.70,0.06,0.06
ID-131004A,3.06,2.80,0.26,-0.80,0.30,0.30,-0.71,0.03,0.03
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.54,0.04,0.05
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.55,0.04,0.05
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.60,0.04,0.05
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.67,0.04,0.05
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.60,0.03,0.05
ID-131004A,6.67,7.30,0.63,-0.80,0.30,0.30,-0.58,0.03,0.04
ID-140903A,11.67,12.20,0.53,-0.60,0.10,0.10,-0.65,0.12,0.10
ID-140903A,12.78,12.20,0.58,-0.60,0.10,0.10,-0.58,0.12,0.10
ID-141212A,5.83,5.40,0.43,-1.70,2.75,0.81,-0.00,0.00,0.00
