ID-070707,11,VLT,FORS1,R,1200,2.1,0.039
ID-070707,33.8,VLT,FORS1,R,1200,1,0.047
ID-070707,37.4,VLT,FORS1,R,180,0.82,0.1
ID-070707,59.3,VLT,FORS1,R,1200,0.26,0.02
ID-070707,61,VLT,ISAAC,J,1800,0.6,0
ID-070707,83.2,VLT,FORS1,R,3600,0.078,0.014
ID-070707,108,VLT,FORS1,R,5100,0.066,0.015
ID-070714B,0.2,Liverpool,--,r,60,37.2,6.7
ID-070714B,0.27,Liverpool,--,r,120,43.1,4.6
ID-070714B,0.3,Liverpool,--,i,120,50.7,8.6
ID-070714B,0.4,Liverpool,--,r,120,37.9,9.8
ID-070714B,0.44,Liverpool,--,r,120,38.3,9
ID-070714B,23.6,WHT,--,R,2400,1,0.22
ID-070714B,24,TNG,NICS,J,0,9.1,0
ID-070724A,2.3,Gemini-N,GMOS,g,360,1.5,0
ID-070724A,2.3,Gemini-N,GMOS,i,360900,1.1,0.1
ID-070724A,2.8,Gemini-N,NIRI,K_s,900,9.3,1.5
ID-070724A,3.1,Gemini-N,NIRI,J,450,3.4,0.3
ID-070724A,3.4,Gemini-N,NIRI,H,900,7.8,0.44
ID-070724A,3.7,Gemini-N,NIRI,K_s,0,8.9,1.5
ID-070729,8.4,ESO/MPG,GROND,r,0,0.48,0
ID-070729,8.4,ESO/MPG,GROND,J,0,3.02,0
ID-070809,11.2,Keck-I,LRIS,R,640,0.82,0.17
ID-070809,35.1,Keck-I,LRIS,R,0,0.26,0.11
ID-070809,11.21,Keck-I,LRIS,g,880,0.25,0.051
ID-070809,35.14,Keck-I,LRIS,g,0,0.19,0
ID-070810B,23.4,Keck-I,LRIS,R,630,0.21,0
ID-071112B,6.3,Magellan/Clay,LDSS3,r,1200,2,0
ID-071112B,9.6,ESO/MPG,GROND,J,0,8.32,0
ID-071227,4.2,ESO/MPG,GROND,J,0,36.3,0
ID-071227,7,VLT,FORS2,R,240,1.6,0.12
ID-071227,80.9,VLT,FORS2,R,540,0.86,0.15
ID-080121,55.2,Swift,UVOT,white,2015,4.57,0
ID-080123,0.04,Swift,UVOT,white,100,22.91,0
ID-080426,7.5,CAHA-2.2m,--,I,3300,7.06,0
ID-080503,0.037,Swift,UVOT,white,98,14.2,0
ID-080503,1,Gemini-N,GMOS,r,180,0.2,0
ID-080503,1.2,Gemini-N,GMOS,g,900,0.089,0.018
ID-080503,1.2,Keck-I,LRIS,B,300,0.21,0
ID-080503,1.3,Keck-I,LRIS,R,630,0.21,0
ID-080503,1.5,Gemini-N,GMOS,r,800,0.081,0
ID-080503,1.8,Gemini-N,GMOS,i,800,0.078,0
ID-080503,2.2,Gemini-N,GMOS,z,800,0.16,0
ID-080503,2.4,Gemini-N,GMOS,g,360,0.65,0
